Date Time,Power (kW)
8/1/2018 16:20,395.88
8/1/2018 16:25,387.66
8/1/2018 16:30,380.82
8/1/2018 16:35,373.42
8/1/2018 16:40,364.54
8/1/2018 16:45,346.68
8/1/2018 16:50,335.38
8/1/2018 16:55,324.1
8/1/2018 17:00,322.34
8/1/2018 17:05,308.7
8/1/2018 17:10,309.43
8/1/2018 17:15,299.5
8/1/2018 17:20,288.44
8/1/2018 17:25,278.77
8/1/2018 17:30,269.88
8/1/2018 17:35,261.11
8/1/2018 17:40,249.22
8/1/2018 17:45,237.3
8/1/2018 17:50,227.82
8/1/2018 17:55,217.65
8/1/2018 18:00,205.23
8/1/2018 18:05,192.28
8/1/2018 18:10,181.26
8/1/2018 18:15,169.96
8/1/2018 18:20,157.89
8/1/2018 18:25,144.85
8/1/2018 18:30,131.94
8/1/2018 18:35,113.31
8/1/2018 18:40,103.07
8/1/2018 18:45,90.06
8/1/2018 18:50,77.54
8/1/2018 18:55,67.22
8/1/2018 19:00,57.94
8/1/2018 19:05,46.53
8/1/2018 19:10,36.79
8/1/2018 19:15,27.25
8/1/2018 19:20,24.11
8/1/2018 19:25,18.28
8/1/2018 19:30,13.89
8/1/2018 19:35,10.53
8/1/2018 19:40,6.33
8/1/2018 19:45,3
8/1/2018 19:50,0.71
8/1/2018 19:55,0
8/1/2018 20:00,0
8/1/2018 20:05,0
8/1/2018 20:10,0
8/1/2018 20:15,0
8/1/2018 20:20,0
8/1/2018 20:25,0
8/1/2018 20:30,0
8/1/2018 20:35,0
8/1/2018 20:40,0
8/1/2018 20:45,0
8/1/2018 20:50,0
8/1/2018 20:55,0
8/1/2018 21:00,0
8/1/2018 21:05,0
8/1/2018 21:10,0
8/1/2018 21:15,0
8/1/2018 21:20,0
8/1/2018 21:25,0
8/1/2018 21:30,0
8/1/2018 21:35,0
8/1/2018 21:40,0
8/1/2018 21:45,0
8/1/2018 21:50,0
8/1/2018 21:55,0
8/1/2018 22:00,0
8/1/2018 22:05,0
8/1/2018 22:10,0
8/1/2018 22:15,0
8/1/2018 22:20,0
8/1/2018 22:25,0
8/1/2018 22:30,0
8/1/2018 22:35,0
8/1/2018 22:40,0
8/1/2018 22:45,0
8/1/2018 22:50,0
8/1/2018 22:55,0
8/1/2018 23:00,0
8/1/2018 23:05,0
8/1/2018 23:10,0
8/1/2018 23:15,0
8/1/2018 23:20,0
8/1/2018 23:25,0
8/1/2018 23:30,0
8/1/2018 23:35,0
8/1/2018 23:40,0
8/1/2018 23:45,0
8/1/2018 23:50,0
8/1/2018 23:55,0
8/2/2018 0:00,0
8/2/2018 0:05,0
8/2/2018 0:10,0
8/2/2018 0:15,0
8/2/2018 0:20,0
8/2/2018 0:25,0
8/2/2018 0:30,0
8/2/2018 0:35,0
8/2/2018 0:40,0
8/2/2018 0:45,0
8/2/2018 0:50,0
8/2/2018 0:55,0
8/2/2018 1:00,0
8/2/2018 1:05,0
8/2/2018 1:10,0
8/2/2018 1:15,0
8/2/2018 1:20,0
8/2/2018 1:25,0
8/2/2018 1:30,0
8/2/2018 1:35,0
8/2/2018 1:40,0
8/2/2018 1:45,0
8/2/2018 1:50,0
8/2/2018 1:55,0
8/2/2018 2:00,0
8/2/2018 2:05,0
8/2/2018 2:10,0
8/2/2018 2:15,0
8/2/2018 2:20,0
8/2/2018 2:25,0
8/2/2018 2:30,0
8/2/2018 2:35,0
8/2/2018 2:40,0
8/2/2018 2:45,0
8/2/2018 2:50,0
8/2/2018 2:55,0
8/2/2018 3:00,0
8/2/2018 3:05,0
8/2/2018 3:10,0
8/2/2018 3:15,0
8/2/2018 3:20,0
8/2/2018 3:25,0
8/2/2018 3:30,0
8/2/2018 3:35,0
8/2/2018 3:40,0
8/2/2018 3:45,0
8/2/2018 3:50,0
8/2/2018 3:55,0
8/2/2018 4:00,0
8/2/2018 4:05,0
8/2/2018 4:10,0
8/2/2018 4:15,0
8/2/2018 4:20,0
8/2/2018 4:25,0
8/2/2018 4:30,0
8/2/2018 4:35,0
8/2/2018 4:40,0
8/2/2018 4:45,0
8/2/2018 4:50,0
8/2/2018 4:55,0
8/2/2018 5:00,0
8/2/2018 5:05,0
8/2/2018 5:10,0
8/2/2018 5:15,0
8/2/2018 5:20,0
8/2/2018 5:25,0
8/2/2018 5:30,0
8/2/2018 5:35,0
8/2/2018 5:40,0
8/2/2018 5:45,0
8/2/2018 5:50,0
8/2/2018 5:55,0
8/2/2018 6:00,0
8/2/2018 6:05,0
8/2/2018 6:10,0.41
8/2/2018 6:15,3.75
8/2/2018 6:20,6.42
8/2/2018 6:25,9.6
8/2/2018 6:30,12.44
8/2/2018 6:35,14.81
8/2/2018 6:40,17.27
8/2/2018 6:45,19.6
8/2/2018 6:50,20.52
8/2/2018 6:55,21.38
8/2/2018 7:00,23.14
8/2/2018 7:05,26.14
8/2/2018 7:10,29.96
8/2/2018 7:15,34.02
8/2/2018 7:20,39.14
8/2/2018 7:25,44.66
8/2/2018 7:30,50.78
8/2/2018 7:35,65.36
8/2/2018 7:40,66.64
8/2/2018 7:45,71.52
8/2/2018 7:50,59.13
8/2/2018 7:55,41.13
8/2/2018 8:00,63.88
8/2/2018 8:05,60.32
8/2/2018 8:10,84.45
8/2/2018 8:15,79.37
8/2/2018 8:20,83.05
8/2/2018 8:25,65.11
8/2/2018 8:30,122.52
8/2/2018 8:35,199.38
8/2/2018 8:40,206.52
8/2/2018 8:45,211.42
8/2/2018 8:50,221.33
8/2/2018 8:55,231.55
8/2/2018 9:00,239.99
8/2/2018 9:05,249.24
8/2/2018 9:10,257.2
8/2/2018 9:15,266.19
8/2/2018 9:20,269.79
8/2/2018 9:25,274.84
8/2/2018 9:30,282.51
8/2/2018 9:35,292.81
8/2/2018 9:40,301.68
8/2/2018 9:45,243.56
8/2/2018 9:50,282.13
8/2/2018 9:55,318.04
8/2/2018 10:00,307.19
8/2/2018 10:05,341.34
8/2/2018 10:10,354.44
8/2/2018 10:15,361.4
8/2/2018 10:20,366.3
8/2/2018 10:25,362.32
8/2/2018 10:30,379.78
8/2/2018 10:35,383.76
8/2/2018 10:40,391.48
8/2/2018 10:45,395.4
8/2/2018 10:50,404.44
8/2/2018 10:55,406.7
8/2/2018 11:00,415.58
8/2/2018 11:05,421.85
8/2/2018 11:10,425.58
8/2/2018 11:15,432.76
8/2/2018 11:20,439.58
8/2/2018 11:25,446.23
8/2/2018 11:30,448.72
8/2/2018 11:35,456.72
8/2/2018 11:40,460.76
8/2/2018 11:45,466.14
8/2/2018 11:50,470.68
8/2/2018 11:55,477.52
8/2/2018 12:00,481.98
8/2/2018 12:05,483.82
8/2/2018 12:10,486.48
8/2/2018 12:15,490.98
8/2/2018 12:20,492.9
8/2/2018 12:25,496.96
8/2/2018 12:30,497.87
8/2/2018 12:35,499.52
8/2/2018 12:40,503.54
8/2/2018 12:45,503.06
8/2/2018 12:50,510
8/2/2018 12:55,506.74
8/2/2018 13:00,508.86
8/2/2018 13:05,512.2
8/2/2018 13:10,511.26
8/2/2018 13:15,512.55
8/2/2018 13:20,515.46
8/2/2018 13:25,516.36
8/2/2018 13:30,517.96
8/2/2018 13:35,520.4
8/2/2018 13:40,518.52
8/2/2018 13:45,514.44
8/2/2018 13:50,516.32
8/2/2018 13:55,516.02
8/2/2018 14:00,511.24
8/2/2018 14:05,510.4
8/2/2018 14:10,511.12
8/2/2018 14:15,508.57
8/2/2018 14:20,509.22
8/2/2018 14:25,507.66
8/2/2018 14:30,506.1
8/2/2018 14:35,504
8/2/2018 14:40,501.34
8/2/2018 14:45,499.22
8/2/2018 14:50,498.15
8/2/2018 14:55,496.05
8/2/2018 15:00,491.44
8/2/2018 15:05,487.6
8/2/2018 15:10,482.66
8/2/2018 15:15,477.7
8/2/2018 15:20,476.63
8/2/2018 15:25,471.52
8/2/2018 15:30,464.58
8/2/2018 15:35,460.4
8/2/2018 15:40,456.52
8/2/2018 15:45,451.12
8/2/2018 15:50,445.22
8/2/2018 15:55,437.68
8/2/2018 16:00,431.07
8/2/2018 16:05,424.78
8/2/2018 16:10,418.16
8/2/2018 16:15,408.94
8/2/2018 16:20,400.06
8/2/2018 16:25,393.52
8/2/2018 16:30,387.32
8/2/2018 16:35,380.62
8/2/2018 16:40,371.54
8/2/2018 16:45,361.57
8/2/2018 16:50,356.44
8/2/2018 16:55,348.32
8/2/2018 17:00,337.38
8/2/2018 17:05,328.23
8/2/2018 17:10,319.02
8/2/2018 17:15,308.6
8/2/2018 17:20,298.15
8/2/2018 17:25,288.75
8/2/2018 17:30,276.85
8/2/2018 17:35,265.44
8/2/2018 17:40,252.1
8/2/2018 17:45,239.06
8/2/2018 17:50,227.65
8/2/2018 17:55,217.13
8/2/2018 18:00,204.87
8/2/2018 18:05,190.66
8/2/2018 18:10,179.1
8/2/2018 18:15,166.98
8/2/2018 18:20,151.93
8/2/2018 18:25,139.09
8/2/2018 18:30,127.15
8/2/2018 18:35,114.05
8/2/2018 18:40,99.12
8/2/2018 18:45,84.83
8/2/2018 18:50,72.52
8/2/2018 18:55,60.89
8/2/2018 19:00,48.58
8/2/2018 19:05,38.6
8/2/2018 19:10,30.95
8/2/2018 19:15,24.92
8/2/2018 19:20,19.08
8/2/2018 19:25,13.82
8/2/2018 19:30,9.41
8/2/2018 19:35,6.03
8/2/2018 19:40,3.19
8/2/2018 19:45,0.9
8/2/2018 19:50,0
8/2/2018 19:55,0
8/2/2018 20:00,0
8/2/2018 20:05,0
8/2/2018 20:10,0
8/2/2018 20:15,0
8/2/2018 20:20,0
8/2/2018 20:25,0
8/2/2018 20:30,0
8/2/2018 20:35,0
8/2/2018 20:40,0
8/2/2018 20:45,0
8/2/2018 20:50,0
8/2/2018 20:55,0
8/2/2018 21:00,0
8/2/2018 21:05,0
8/2/2018 21:10,0
8/2/2018 21:15,0
8/2/2018 21:20,0
8/2/2018 21:25,0
8/2/2018 21:30,0
8/2/2018 21:35,0
8/2/2018 21:40,0
8/2/2018 21:45,0
8/2/2018 21:50,0
8/2/2018 21:55,0
8/2/2018 22:00,0
8/2/2018 22:05,0
8/2/2018 22:10,0
8/2/2018 22:15,0
8/2/2018 22:20,0
8/2/2018 22:25,0
8/2/2018 22:30,0
8/2/2018 22:35,0
8/2/2018 22:40,0
8/2/2018 22:45,0
8/2/2018 22:50,0
8/2/2018 22:55,0
8/2/2018 23:00,0
8/2/2018 23:05,0
8/2/2018 23:10,0
8/2/2018 23:15,0
8/2/2018 23:20,0
8/2/2018 23:25,0
